pivot_time,pivot_price,pivot_type,structure,leg_return_pct,leg_bars,leg_duration_sec
2024-10-01 04:33:00+00:00,66.74,low,HL,-0.01498127340824329,1,60.0
2024-10-01 04:34:00+00:00,66.81,high,HH,0.10488462691040645,1,60.0
2024-10-01 04:35:00+00:00,66.78,low,HL,-0.04490345756623659,1,60.0
2024-10-01 04:36:00+00:00,66.86,high,HH,0.11979634621144264,1,60.0
2024-10-01 04:38:00+00:00,66.67,low,LL,-0.2841758899192359,2,120.0
2024-10-01 04:39:00+00:00,66.73,high,LH,0.08999550022499303,1,60.0
2024-10-01 04:40:00+00:00,66.57,low,LL,-0.23977221639444046,1,60.0
2024-10-01 04:41:00+00:00,66.72,high,LH,0.22532672374944163,1,60.0
2024-10-01 04:42:00+00:00,66.7,low,HL,-0.02997601918464099,1,60.0
2024-10-01 04:43:00+00:00,66.82,high,HH,0.17991004497750485,1,60.0
2024-10-01 04:44:00+00:00,66.67,low,LL,-0.22448368751869507,1,60.0
2024-10-01 04:45:00+00:00,66.72,high,LH,0.07499625018747569,1,60.0
2024-10-01 04:47:00+00:00,66.63,low,LL,-0.13489208633093996,2,120.0
2024-10-01 04:49:00+00:00,66.74,high,HH,0.1650907999399598,2,120.0
2024-10-01 04:50:00+00:00,66.63,low,LL,-0.16481869943062444,1,60.0
2024-10-01 04:52:00+00:00,66.7,high,LH,0.10505778177998248,2,120.0
2024-10-01 04:53:00+00:00,66.61,low,LL,-0.13493253373313419,1,60.0
2024-10-01 04:54:00+00:00,66.74,high,HH,0.19516589100734283,1,60.0
2024-10-01 04:57:00+00:00,66.66,low,HL,-0.11986814504045817,3,180.0
2024-10-01 04:59:00+00:00,66.75,high,HH,0.13501350135014523,2,120.0
2024-10-01 05:00:00+00:00,66.61,low,LL,-0.20973782771536165,1,60.0
2024-10-01 05:01:00+00:00,66.72,high,LH,0.16514036931392084,1,60.0
2024-10-01 05:02:00+00:00,66.61,low,LL,-0.16486810551559206,1,60.0
2024-10-01 05:03:00+00:00,66.65,high,LH,0.06005104338688838,1,60.0
2024-10-01 05:04:00+00:00,66.45,low,LL,-0.30007501875469744,1,60.0
2024-10-01 05:05:00+00:00,66.52,high,LH,0.10534236267869534,1,60.0
2024-10-01 05:06:00+00:00,66.46,low,HL,-0.09019843656044024,1,60.0
2024-10-01 05:10:00+00:00,66.46,high,LH,0.0,4,240.0
2024-10-01 05:11:00+00:00,66.39,low,LL,-0.10532651218777556,1,60.0
2024-10-01 05:13:00+00:00,66.54,high,HH,0.2259376412110381,2,120.0
2024-10-01 05:14:00+00:00,66.4,low,HL,-0.21039975954313395,1,60.0
