timeframe,leg_id,start_ts,end_ts,bin_size,lvn_price,lvn_volume,lvn_raw_volume,pct_of_max,depth_pct,pct_of_total,within_value_area,distance_to_poc,poc_price,value_area_low,value_area_high,lvn_rank,leg_pattern,leg_direction,leg_return_pct,leg_bars,leg_duration_sec
minute,11,2024-10-01 02:32:00+00:00,2024-10-01 02:50:00+00:00,0.000999999999999801,68.19750000000046,4.818181818204849,4.818181818204849,0.4183109707970495,0.5816890292029505,0.005628717077341403,True,0.004000000000019099,68.20150000000048,68.1215000000001,68.22050000000057,1,LH->LL,downtrend,-0.2490112787461584,18,1080.0
minute,574,2024-10-01 16:39:00+00:00,2024-10-01 16:50:00+00:00,0.002500000000000213,70.67624999999985,4.7499999999955,4.7499999999955,0.249702734839457,0.750297265160543,0.00546605293440419,True,0.029999999999972715,70.70624999999983,70.6212499999999,70.76124999999978,1,HL->HH,uptrend,0.3829244078854099,11,660.0
minute,574,2024-10-01 16:39:00+00:00,2024-10-01 16:50:00+00:00,0.002500000000000213,70.63624999999989,5.195454545449056,5.195454545449056,0.273119833417673,0.726880166582327,0.005978658855524697,True,0.06999999999993634,70.70624999999983,70.6212499999999,70.76124999999978,2,HL->HH,uptrend,0.3829244078854099,11,660.0
minute,627,2024-10-01 22:32:00+00:00,2024-10-01 22:44:00+00:00,0.0015000000000000568,70.74324999999975,2.662499999987197,2.662499999987197,0.35009861932930597,0.649901380670694,0.005411402052750401,True,0.01949999999990837,70.72374999999984,70.71924999999986,70.8392499999993,1,LH->LL,downtrend,-0.35241048773611,12,720.0
minute,627,2024-10-01 22:32:00+00:00,2024-10-01 22:44:00+00:00,0.0015000000000000568,70.79274999999951,2.9571428571292495,2.9571428571292495,0.3888419273034545,0.6111580726965455,0.006010249362412153,True,0.06899999999967577,70.72374999999984,70.71924999999986,70.8392499999993,2,LH->LL,downtrend,-0.35241048773611,12,720.0
minute,1070,2024-10-02 15:00:00+00:00,2024-10-02 15:13:00+00:00,0.000999999999999801,70.45150000000025,14.125000000068631,14.125000000068631,0.3597962216090932,0.6402037783909068,0.008934218848870136,True,0.010000000000047748,70.4415000000002,70.4205000000001,70.4815000000004,1,HL->HH,uptrend,0.1704545454545236,13,780.0
minute,1072,2024-10-02 15:19:00+00:00,2024-10-02 15:30:00+00:00,0.0017499999999998294,70.54412500000007,9.74166666667326,9.74166666667326,0.3966274789218064,0.6033725210781936,0.007135026096408006,True,0.021000000000015007,70.52312500000005,70.49337500000004,70.6001250000001,1,HL->HH,uptrend,0.3123225440090804,11,660.0
minute,1592,2024-10-03 22:00:00+00:00,2024-10-03 22:23:00+00:00,0.000999999999999801,73.79750000000041,2.4250000000120617,2.4250000000120617,0.33333333333347664,0.6666666666665233,0.005773809523836452,True,0.004000000000019099,73.80150000000043,73.76950000000028,73.85950000000071,1,HL->HH,uptrend,0.2035002035002175,23,1380.0
minute,1614,2024-10-04 02:17:00+00:00,2024-10-04 02:28:00+00:00,0.0010000000000005115,73.63150000000049,4.250000000018744,4.250000000018744,0.3512396694212035,0.6487603305787966,0.00535939470367933,True,0.010000000000047748,73.62150000000044,73.53350000000002,73.66050000000062,1,HL->HH,uptrend,0.2719978240174114,11,660.0
minute,1614,2024-10-04 02:17:00+00:00,2024-10-04 02:28:00+00:00,0.0010000000000005115,73.60750000000037,5.000000000022453,5.000000000022453,0.4132231404955667,0.5867768595044334,0.006305170239623247,True,0.014000000000066848,73.62150000000044,73.53350000000002,73.66050000000062,2,HL->HH,uptrend,0.2719978240174114,11,660.0
